id,name,description,shopname,price,unit,image
1,Apfel Rot,Knackiger roter Tafelapfel,Bio-Markt,0.89,Stück,roter_apfel.jpg
2,Vollmilch,Frische Vollmilch 3.5% Fett,Milchhof Müller,1.49,Liter,vollmilch.jpg
3,Baguette,Frisch gebackenes französisches Baguette,Stadtbäckerei,1.20,Stück,baguette.jpg
4,Eier Freiland,10er Packung Freilandeier,Geflügelhof Sonnenschein,3.29,Packung,eier.jpg
5,Bananen,Reife gelbe Bananen aus fairem Handel,Obstwelt,1.99,kg,bananen.jpg
6,Gouda Jung,Milder Schnittkäse in Scheiben,Käse-Ecke,2.49,Packung,gouda_jung.jpg
7,Butter,Ungesalzene Markenbutter,Discounter Plus,1.85,Stück,butter.jpg
8,Spaghetti,Hartweizengrieß Nudeln 500g,Pasta Paradies,0.99,Packung,spaghetti.jpg
9,Tomatenketchup,Würziger Ketchup ohne Konservierungsstoffe,Saucenwelt,2.19,Flasche,tomatenketchup.jpg
10,Gurke,Frische Salatgurke aus der Region,Gemüsegarten,0.79,Stück,gurke.jpg
11,Hähnchenbrust,Frisches Hähnchenbrustfilet natur,Metzgerei Schmidt,12.90,kg,hähnchenbrust.jpg
12,Reis Langkorn,Langkorn Parboiled Reis 1kg,Reis-Depot,1.59,Packung,langkorn_rice.jpg
13,Kaffee gemahlen,Aromatischer Röstkaffee 500g,Rösterei Bohne,5.49,Packung,kaffee_gemahlen.jpg
14,Orangensaft,Direktsaft 100% Fruchtgehalt,Saftbar,1.79,Liter,orangensaft.jpg
15,Zwiebeln,Gelbe Speisezwiebeln im Netz,Gemüsegarten,1.49,kg,zwiebeln.jpg
